Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Leonardo Bonucci\52ec54d0,it ITA,DF,28,49,48,4386,48.7,3,1,3,0,0,9,0,0.06,0.02,0.08,0.06,0.08,Matches
Paul Pogba\867239d3,fr FRA,MF,22,49,46,4284,47.6,10,15,9,1,2,12,0,0.21,0.32,0.53,0.19,0.50,Matches
Gianluigi Buffon\e40d028b,it ITA,GK,37,44,44,3990,44.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
Andrea Barzagli\7c0000fd,it ITA,DF,34,42,39,3603,40.0,1,1,1,0,0,3,0,0.02,0.02,0.05,0.02,0.05,Matches
Paulo Dybala\e0921a4f,ar ARG,FW,21,46,35,3065,34.1,23,9,17,6,6,3,0,0.68,0.26,0.94,0.50,0.76,Matches
Patrice Evra\51a3caf1,fr FRA,MFDF,34,35,32,2769,30.8,2,3,2,0,0,6,1,0.07,0.10,0.16,0.07,0.16,Matches
Stephan Lichtsteiner\99b1d0e6,ch SUI,MFDF,31,37,33,2761,30.7,2,1,2,0,0,6,0,0.07,0.03,0.10,0.07,0.10,Matches
Giorgio Chiellini\e85fb9b8,it ITA,DF,30,34,31,2717,30.2,1,0,1,0,0,8,1,0.03,0.00,0.03,0.03,0.03,Matches
Claudio Marchisio\e304acd5,it ITA,MF,29,32,32,2689,29.9,0,2,0,0,0,10,0,0.00,0.07,0.07,0.00,0.07,Matches
Mario Mandžukić\afa0d4e0,hr CRO,FW,29,36,31,2671,29.7,13,5,13,0,0,5,0,0.44,0.17,0.61,0.44,0.61,Matches
Juan Cuadrado\0ab1f153,co COL,MFFW,27,40,23,2457,27.3,5,6,5,0,0,4,0,0.18,0.22,0.40,0.18,0.40,Matches
Álvaro Morata\129af0db,es ESP,FW,22,47,26,2362,26.2,12,9,10,2,2,9,1,0.46,0.34,0.80,0.38,0.72,Matches
Alex Sandro\0d82903c,br BRA,MFDF,24,32,22,2260,25.1,2,4,2,0,0,7,1,0.08,0.16,0.24,0.08,0.24,Matches
Sami Khedira\38ac43d3,de GER,MF,28,25,25,1912,21.2,5,4,5,0,0,4,1,0.24,0.19,0.42,0.24,0.42,Matches
Stefano Sturaro\2334478a,it ITA,MF,22,28,18,1755,19.5,2,1,2,0,0,10,0,0.10,0.05,0.15,0.10,0.15,Matches
Daniele Rugani\14b8fcdf,it ITA,DF,21,21,14,1499,16.7,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
Hernanes\cfc2ee72,br BRA,MFFW,30,22,16,1441,16.0,1,1,1,0,0,6,1,0.06,0.06,0.12,0.06,0.12,Matches
Simone Zaza\9592289a,it ITA,FW,24,24,8,964,10.7,8,0,8,0,0,9,1,0.75,0.00,0.75,0.75,0.75,Matches
Mario Lemina\2b471f99,ga GAB,MF,21,13,8,902,10.0,2,0,1,1,0,5,0,0.20,0.00,0.20,0.10,0.10,Matches
Roberto Pereyra\75f2c59f,ar ARG,MFFW,24,16,9,864,9.6,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,Matches
Neto\a9dc785c,br BRA,GK,26,8,8,780,8.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Kwadwo Asamoah\089550f5,gh GHA,MF,26,13,8,744,8.3,0,2,0,0,0,1,0,0.00,0.24,0.24,0.00,0.24,Matches
Martín Cáceres\e94d79e3,uy URU,DF,28,9,8,718,8.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Simone Padoin\5eb72339,it ITA,MFDF,31,14,6,590,6.6,1,0,1,0,0,2,0,0.15,0.00,0.15,0.15,0.15,Matches
Kingsley Coman\042e8a49,fr FRA,FW,19,2,2,123,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Fernando Llorente\82dbf623,es ESP,FW,30,2,0,23,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Mauricio Isla\de4517dd,cl CHI,DFMF,27,1,0,10,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Andrea Favilli\44510fde,it ITA,FW,18,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Emil Audero\649b01d8,it ITA,GK,18,0,0,,,,,,,,,,,,,,,Matches
Filippo Romagna\84594618,it ITA,DF,18,0,0,,,,,,,,,,,,,,,Matches
Stefano Pellini\7fb0d03d,it ITA,MF,17,0,0,,,,,,,,,,,,,,,Matches
Rubinho\19aeb20a,br BRA,GK,32,0,0,,,,,,,,,,,,,,,Matches
Mattia Vitale\8e4b894b,it ITA,MF,17,0,0,,,,,,,,,,,,,,,Matches
Fabio Morselli\b84a3d33,it ITA,FW,17,0,0,,,,,,,,,,,,,,,Matches
Francesco Cassata\96960855,it ITA,MF,18,0,0,,,,,,,,,,,,,,,Matches
