Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK
Gonzalo Higuaín,ar ARG,FW,28,55,49,4485.0,49.8,32.0,3.0,31.0,1.0,1.0,3.0,0.0,0.64,0.06,0.7,0.62,0.68
Mario Mandžukić,hr CRO,FWMF,30,50,43,3877.0,43.1,11.0,5.0,11.0,0.0,0.0,9.0,0.0,0.26,0.12,0.37,0.26,0.37
Gianluigi Buffon,it ITA,GK,38,43,43,3855.0,42.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sami Khedira,de GER,MF,29,46,46,3824.0,42.5,5.0,3.0,5.0,0.0,0.0,5.0,0.0,0.12,0.07,0.19,0.12,0.19
Leonardo Bonucci,it ITA,DF,29,45,41,3746.0,41.6,5.0,0.0,5.0,0.0,0.0,9.0,0.0,0.12,0.0,0.12,0.12,0.12
Miralem Pjanić,ba BIH,MF,26,47,40,3423.0,38.0,8.0,13.0,7.0,1.0,1.0,9.0,0.0,0.21,0.34,0.55,0.18,0.53
Alex Sandro,br BRA,MFDF,25,43,37,3419.0,38.0,3.0,7.0,3.0,0.0,0.0,7.0,0.0,0.08,0.18,0.26,0.08,0.26
Paulo Dybala,ar ARG,MFFW,22,48,41,3353.0,37.3,19.0,8.0,13.0,6.0,6.0,3.0,0.0,0.51,0.21,0.72,0.35,0.56
Juan Cuadrado,co COL,MFFW,28,45,30,2907.0,32.3,2.0,9.0,2.0,0.0,0.0,11.0,2.0,0.06,0.28,0.34,0.06,0.34
Giorgio Chiellini,it ITA,DF,31,33,31,2659.0,29.5,4.0,3.0,4.0,0.0,0.0,6.0,0.0,0.14,0.1,0.24,0.14,0.24
Andrea Barzagli,it ITA,DF,35,39,29,2622.0,29.1,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Dani Alves,br BRA,DFMF,33,33,28,2540.0,28.2,6.0,6.0,6.0,0.0,0.0,8.0,0.0,0.21,0.21,0.43,0.21,0.43
Stephan Lichtsteiner,ch SUI,DFMF,32,30,26,2194.0,24.4,1.0,2.0,1.0,0.0,0.0,8.0,0.0,0.04,0.08,0.12,0.04,0.12
Claudio Marchisio,it ITA,MF,30,29,23,2036.0,22.6,2.0,4.0,1.0,1.0,1.0,4.0,0.0,0.09,0.18,0.27,0.04,0.22
Kwadwo Asamoah,gh GHA,DFMF,27,24,21,1884.0,20.9,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.05,0.05,0.0,0.05
Daniele Rugani,it ITA,DF,22,20,16,1561.0,17.3,3.0,0.0,3.0,0.0,0.0,4.0,0.0,0.17,0.0,0.17,0.17,0.17
Medhi Benatia,ma MAR,DF,29,21,17,1452.0,16.1,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.06,0.0,0.06,0.06,0.06
Stefano Sturaro,it ITA,MF,23,28,15,1385.0,15.4,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.13,0.13,0.0,0.13
Mario Lemina,ga GAB,MF,22,29,11,1236.0,13.7,1.0,1.0,1.0,0.0,0.0,3.0,2.0,0.07,0.07,0.15,0.07,0.15
Neto,br BRA,GK,27,14,13,1215.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hernanes,br BRA,MF,31,13,10,906.0,10.1,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.1,0.0,0.1,0.1,0.1
Patrice Evra,fr FRA,DFMF,35,13,9,841.0,9.3,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Tomás Rincón,ve VEN,MF,28,19,5,588.0,6.5,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.15,0.15,0.0,0.15
Marko Pjaca,hr CRO,MF,21,20,3,588.0,6.5,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.15,0.0,0.15,0.15,0.15
Emil Audero,it ITA,GK,19,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Moise Kean,it ITA,FW,16,4,0,27.0,0.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.33,0.0,3.33,3.33,3.33
Rolando Mandragora,it ITA,MF,19,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Simone Zaza,it ITA,FW,25,0,0,,,,,,,,,,,,,,
Luca Marrone,it ITA,DFMF,26,0,0,,,,,,,,,,,,,,
Leonardo Loria,it ITA,GK,17,0,0,,,,,,,,,,,,,,
Federico Mattiello,it ITA,DFMF,21,0,0,,,,,,,,,,,,,,
Simone Muratore,it ITA,MF,18,0,0,,,,,,,,,,,,,,
Mehdi Léris,fr FRA,MF,18,0,0,,,,,,,,,,,,,,
Mattia Del Favero,it ITA,GK,18,0,0,,,,,,,,,,,,,,
Alessandro Semprini,it ITA,FW,18,0,0,,,,,,,,,,,,,,
