Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
Danilo\94b2001f,br BRA,DF,29,46,41,3833,42.6,1,4,1,0,0,9,0,0.02,0.09,0.12,0.02,0.12,1.4,1.4,3.5,4.9,0.04,0.09,0.13,0.04,0.13,Matches
Cristiano Ronaldo\dea698d9,pt POR,FW,35,44,41,3750,41.7,36,4,27,9,11,5,0,0.86,0.10,0.96,0.65,0.74,31.0,23.3,3.7,26.9,0.83,0.10,0.92,0.62,0.72,Matches
Wojciech Szczęsny\01b8a2b2,pl POL,GK,30,38,38,3427,38.1,0,1,0,0,0,0,0,0.00,0.03,0.03,0.00,0.03,0.0,0.0,0.1,0.1,0.00,0.00,0.00,0.00,0.00,Matches
Adrien Rabiot\8794e251,fr FRA,MF,25,47,34,3255,36.2,5,3,5,0,0,10,1,0.14,0.08,0.22,0.14,0.22,3.2,3.2,2.4,5.7,0.10,0.08,0.18,0.10,0.18,Matches
Rodrigo Bentancur\3b8674e6,uy URU,MF,23,45,37,3179,35.3,0,4,0,0,0,11,1,0.00,0.11,0.11,0.00,0.11,0.8,0.8,3.0,3.8,0.03,0.10,0.12,0.03,0.12,Matches
Juan Cuadrado\0ab1f153,co COL,DF,32,40,36,3075,34.2,2,17,1,1,1,12,1,0.06,0.50,0.56,0.03,0.53,2.1,1.4,10.2,11.6,0.07,0.34,0.41,0.05,0.38,Matches
Matthijs de Ligt\d6e53a3a,nl NED,DF,20,36,33,2986,33.2,1,1,1,0,0,7,0,0.03,0.03,0.06,0.03,0.06,1.2,1.2,0.7,1.8,0.04,0.02,0.06,0.04,0.06,Matches
Federico Chiesa\b0f7e36c,it ITA,MF,22,43,36,2908,32.3,14,10,14,0,0,6,1,0.43,0.31,0.74,0.43,0.74,8.2,8.2,7.5,15.7,0.27,0.25,0.51,0.27,0.51,Matches
Álvaro Morata\129af0db,es ESP,FW,27,44,31,2818,31.3,20,11,18,2,2,5,1,0.64,0.35,0.99,0.57,0.93,14.1,13.3,6.1,19.4,0.49,0.21,0.70,0.46,0.67,Matches
Dejan Kulusevski\df3cda47,se SWE,FW,20,47,28,2741,30.5,7,7,7,0,0,8,0,0.23,0.23,0.46,0.23,0.46,3.2,3.2,6.5,9.8,0.13,0.27,0.40,0.13,0.40,Matches
Leonardo Bonucci\52ec54d0,it ITA,DF,33,35,30,2677,29.7,2,0,2,0,0,4,0,0.07,0.00,0.07,0.07,0.07,2.7,2.7,0.6,3.3,0.10,0.02,0.12,0.10,0.12,Matches
Alex Sandro\0d82903c,br BRA,DF,29,34,27,2542,28.2,2,2,2,0,0,5,0,0.07,0.07,0.14,0.07,0.14,1.3,1.3,2.4,3.6,0.05,0.09,0.14,0.05,0.14,Matches
Weston McKennie\01c3aff5,us USA,MF,21,46,25,2406,26.7,6,3,6,0,0,5,0,0.22,0.11,0.34,0.22,0.34,4.9,4.9,2.9,7.8,0.21,0.12,0.33,0.21,0.33,Matches
Giorgio Chiellini\e85fb9b8,it ITA,DF,35,25,22,1782,19.8,0,2,0,0,0,5,0,0.00,0.10,0.10,0.00,0.10,0.7,0.7,0.1,0.8,0.04,0.00,0.05,0.04,0.05,Matches
Arthur Melo\48b3dd60,br BRA,MF,23,32,19,1715,19.1,1,0,1,0,0,4,0,0.05,0.00,0.05,0.05,0.05,0.2,0.2,1.0,1.2,0.01,0.06,0.07,0.01,0.07,Matches
Merih Demiral\e3cceee6,tr TUR,DF,22,24,17,1666,18.5,0,1,0,0,0,6,1,0.00,0.05,0.05,0.00,0.05,0.7,0.7,0.1,0.8,0.05,0.00,0.05,0.05,0.05,Matches
Aaron Ramsey\ef619b0b,wls WAL,MF,29,30,19,1536,17.1,2,4,2,0,0,3,0,0.12,0.23,0.35,0.12,0.35,5.5,5.5,4.2,9.7,0.34,0.26,0.60,0.34,0.60,Matches
Federico Bernardeschi\ee93c1a9,it ITA,FWMF,26,39,13,1462,16.2,0,3,0,0,0,5,0,0.00,0.18,0.18,0.00,0.18,2.6,2.6,2.4,4.9,0.20,0.19,0.40,0.20,0.40,Matches
Paulo Dybala\e0921a4f,ar ARG,MFFW,26,26,16,1365,15.2,5,3,5,0,0,0,0,0.33,0.20,0.53,0.33,0.53,6.1,6.1,3.0,9.2,0.41,0.20,0.61,0.41,0.61,Matches
Gianluigi Buffon\e40d028b,it ITA,GK,42,14,14,1290,14.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Gianluca Frabotta\d80b1835,it ITA,DF,21,17,9,770,8.6,1,1,1,0,0,5,0,0.12,0.12,0.23,0.12,0.23,0.2,0.2,1.3,1.5,0.03,0.16,0.19,0.03,0.19,Matches
Radu Drăgușin\620922ed,ro ROU,DF,18,4,2,233,2.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Manolo Portanova\c8c0dccd,it ITA,MF,20,3,2,146,1.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.0,0.6,0.71,0.00,0.71,0.71,0.71,Matches
Nicolò Fagioli\366be751,it ITA,MF,19,2,1,107,1.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Wesley\7f7ad37a,br BRA,DF,20,1,1,87,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,Matches
Alessandro Di Pardo\e0ce7038,it ITA,MF,21,5,0,59,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.12,0.12,0.00,0.12,Matches
Hamza Rafia\6b587d3d,tn TUN,MF,21,1,0,44,0.5,1,0,1,0,0,0,0,2.05,0.00,2.05,2.05,2.05,,,,,,,,,,Matches
Douglas Costa\4fa7cb9b,br BRA,MFFW,29,2,0,42,0.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.05,0.05,0.00,0.05,Matches
Mattia De Sciglio\ae4e2852,it ITA,DF,27,1,0,24,0.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.11,0.00,0.11,0.11,0.11,Matches
Carlo Pinsoglio\f6a06749,it ITA,GK,30,1,0,23,0.3,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Cosimo Marco Da Graca\32f76907,it ITA,FW,18,1,0,8,0.1,0,1,0,0,0,0,0,0.00,11.25,11.25,0.00,11.25,,,,,,,,,,Matches
Félix Correia\c803c92a,pt POR,MF,19,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
Giacomo Vrioni\bf4d31d3,al ALB,MF,21,1,0,1,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.00,5.69,5.69,0.00,5.69,Matches
Daouda Peeters\e83f8ebb,be BEL,MF,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Giovanni Garofani\ff2ad9bb,it ITA,GK,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Koni De Winter\f4797849,be BEL,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Daniele Rugani\14b8fcdf,it ITA,DF,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Davide De Marino\2550ae31,it ITA,DF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Marley Aké\414e1f69,fr FRA,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Riccardo Capellini\427258c9,it ITA,MF,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Franco Israel\1f994616,uy URU,GK,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alejandro Marqués\83bc30cc,es ESP,FW,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alessandro Riccio\3f9d3385,it ITA,DF,18,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Hans Nicolussi Caviglia\b136c945,it ITA,FW,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
Filippo Ranocchia\d9ebed1c,it ITA,MF,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
