Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK.1,G+A-PK,xG,npxG,xA,npxG+xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA.1
Wojciech Szczęsny,pl POL,GK,31-235,18,18,1620.0,18.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0
Leonardo Bonucci,it ITA,DF,34-222,18,18,1614.0,17.9,3.0,0.0,0.0,3.0,3.0,1.0,0.0,0.17,0.0,0.17,0.0,0.0,3.4,1.1,0.5,1.6,0.19,0.03,0.22,0.06,0.09
Manuel Locatelli,it ITA,MF,23-335,21,17,1546.0,17.2,2.0,1.0,2.0,0.0,0.0,4.0,0.0,0.12,0.06,0.17,0.12,0.17,1.7,1.7,1.4,3.1,0.1,0.08,0.18,0.1,0.18
Matthijs de Ligt,nl NED,DF,22-119,17,16,1468.0,16.3,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.06,0.0,0.06,0.06,0.06,1.1,1.1,0.0,1.2,0.07,0.0,0.07,0.07,0.07
Alex Sandro,br BRA,DF,30-317,20,15,1459.0,16.2,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.06,0.0,0.06,0.06,0.06,1.1,1.1,1.1,2.3,0.07,0.07,0.14,0.07,0.14
Álvaro Morata,es ESP,FW,29-047,20,15,1308.0,14.5,5.0,0.0,5.0,0.0,0.0,3.0,0.0,0.34,0.0,0.34,0.34,0.34,5.1,5.1,3.6,8.7,0.35,0.25,0.6,0.35,0.6
Juan Cuadrado,co COL,DFMF,33-197,19,14,1291.0,14.3,3.0,0.0,3.0,0.0,0.0,6.0,0.0,0.21,0.0,0.21,0.21,0.21,0.7,0.7,2.5,3.2,0.05,0.17,0.22,0.05,0.22
Danilo,br BRA,DFMF,30-147,14,14,1173.0,13.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.08,0.08,0.0,0.08,0.1,0.1,0.4,0.5,0.01,0.03,0.04,0.01,0.04
Paulo Dybala,ar ARG,FWMF,28-024,16,14,1173.0,13.0,8.0,4.0,5.0,3.0,4.0,1.0,0.0,0.61,0.31,0.92,0.38,0.69,7.0,3.9,3.5,7.4,0.53,0.27,0.8,0.3,0.57
Rodrigo Bentancur,uy URU,MF,24-187,17,14,1150.0,12.8,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.16,0.16,0.0,0.16,0.5,0.5,0.6,1.1,0.04,0.05,0.09,0.04,0.09
Adrien Rabiot,fr FRA,MF,26-250,17,14,1133.0,12.6,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.08,0.08,0.0,0.08,0.9,0.9,0.2,1.1,0.07,0.02,0.09,0.07,0.09
Federico Chiesa,it ITA,MFFW,24-045,16,13,1086.0,12.1,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.25,0.08,0.33,0.25,0.33,3.3,3.3,1.1,4.4,0.27,0.09,0.36,0.27,0.36
Weston McKennie,us USA,MF,23-103,16,12,1063.0,11.8,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.17,2.3,2.3,0.9,3.2,0.19,0.08,0.27,0.19,0.27
Federico Bernardeschi,it ITA,MFFW,27-296,16,12,948.0,10.5,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.38,0.38,0.0,0.38,1.5,1.5,2.2,3.7,0.14,0.21,0.35,0.14,0.35
Giorgio Chiellini,it ITA,DF,37-117,11,8,780.0,8.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.01,0.01,0.0,0.01
