season,match_date,player,type,description,event_time,team,match_date,match_time,competition,season,home_team,away_team,home_goals,away_goals,result,referee,attendance,stadium
19-20,2020-07-15,"Alex Sandro",goal,"",64,Juventus,2020-07-15,21:45:00.00,"Serie A",19-20,Sassuolo,Juventus,3,3,D,"Paolo Valeri",0,"Mapei Stadium – Città del Tricolore, Reggio Emilia"
20-21,2021-01-24,Arthur,goal,"",15,Juventus,2021-01-24,12:30:00.00,"Serie A",20-21,Juventus,Bologna,2,0,W,"Juan Luca Sacchi",0,"Allianz Stadium, Turin"
12-13,2012-08-11,Asamoah,goal,"",37,Juventus,2012-08-11,20:00:00.00,"Supercoppa Italiana",12-13,Juventus,Napoli,4,2,W,"Paolo Mazzoleni",65000,"Beijing National Stadium, Beijing, China"
18-19,2018-08-18,Bani,goal,og,75,Juventus,2018-08-18,18:00:00.00,"Serie A",18-19,Chievo,Juventus,2,3,W,"Fabrizio Pasqua",28375,"Stadio Marc'Antonio Bentegodi, Verona"
11-12,2012-05-13,Barzagli,goal,pen,90,Juventus,2012-05-13,15:00:00.00,"Serie A",11-12,Juventus,Atalanta,3,1,W,"Gabriele Gava",40944,"Juventus Stadium, Turin"
16-17,2017-03-10,Benatia,goal,"",30,Juventus,2017-03-10,20:45:00.00,"Serie A",16-17,Juventus,Milan,2,1,W,"Davide Massa",40573,"Juventus Stadium, Turin"
19-20,2020-01-22,Bentancur,goal,"",38,Juventus,2020-01-22,20:45:00.00,"Coppa Italia",19-20,Juventus,Roma,3,1,W,"Gianluca Rocchi",40791,"Juventus Stadium, Turin"
19-20,2020-07-26,Bernardeschi,goal,"",67,Juventus,2020-07-26,21:45:00.00,"Serie A",19-20,Juventus,Sampdoria,2,0,W,"Francesco Fourneau",0,"Juventus Stadium, Turin"
13-14,2013-09-25,Bernardini,goal,og,65,Juventus,2013-09-25,20:45:00.00,"Serie A",13-14,Chievo,Juventus,1,2,W,"Andrea De Marco",20000,"Stadio Marc'Antonio Bentegodi, Verona"
14-15,2014-08-30,Biraghi,goal,og,6,Juventus,2014-08-30,18:00:00.00,"Serie A",14-15,Chievo,Juventus,0,1,W,"Carmine Russo",25000,"Stadio Marc'Antonio Bentegodi, Verona"
19-20,2019-10-30,Bonucci,goal,"",36,Juventus,2019-10-30,21:00:00.00,"Serie A",19-20,Juventus,Genoa,2,1,W,"Antonio Giua",39115,"Juventus Stadium, Turin"
