,Minute,Player,Squad,Outcome,Distance,Body Part,Notes
0,8,Paulo Dybala,Juventus,Saved,21,Left Foot,Half volley
1,10,Juan Cuadrado,Juventus,Blocked,19,Right Foot,
2,10,Federico Bernardeschi,Juventus,Blocked,13,Right Foot,Half volley
3,13,Matthijs de Ligt,Juventus,Wayward,4,Head,
4,13,Kaio Jorge,Juventus,Off Target,3,Right Foot,Half volley
5,15,Juan Cuadrado,Juventus,Off Target,27,Right Foot,
6,18,Kaio Jorge,Juventus,Blocked,30,Right Foot,
7,23,Mattia Aramu,Venezia,Saved,27,Left Foot,
8,24,Thomas Henry,Venezia,Off Target,29,Right Foot,
9,27,Álvaro Morata,Juventus,Saved,9,Left Foot,
10,28,Adrien Rabiot,Juventus,Off Target,23,Left Foot,
11,31,Thomas Henry,Venezia,Wayward,5,Head,
12,32,Álvaro Morata,Juventus,Goal,7,Right Foot,Volley
13,36,Álvaro Morata,Juventus,Saved,19,Right Foot,
14,38,Domen Črnigoj,Venezia,Blocked,19,Left Foot,
15,39,Domen Črnigoj,Venezia,Off Target,24,Right Foot,
16,40,Kaio Jorge,Juventus,Saved,9,Right Foot,
17,45,Ridgeciano Haps,Venezia,Wayward,22,Left Foot,
18,45+1,Juan Cuadrado,Juventus,Off Target,16,Right Foot,
21,Minute,Player,Squad,Outcome,Distance,Body Part,Notes
22,50,Gianluca Busio,Venezia,Saved,22,Right Foot,
23,53,Mattia Caldara,Venezia,Wayward,12,Head,
24,55,Mattia Aramu,Venezia,Goal,23,Left Foot,
25,60,Thomas Henry,Venezia,Off Target,23,Right Foot,
26,62,Federico Bernardeschi,Juventus,Blocked,25,Left Foot,
27,65,Adrien Rabiot,Juventus,Wayward,6,Left Foot,
28,65,Federico Bernardeschi,Juventus,Saved,13,Left Foot,Volley
29,69,Mattia Aramu,Venezia,Blocked,16,Right Foot,
30,70,Gianluca Busio,Venezia,Wayward,20,Right Foot,Half volley
31,71,Kaio Jorge,Juventus,Blocked,6,Right Foot,Volley
32,82,Mattia Aramu,Venezia,Saved,44,Left Foot,
33,83,Mattia De Sciglio,Juventus,Blocked,21,Left Foot,
34,90+1,Matìas Soulé,Juventus,Blocked,26,Left Foot,Free kick
35,90+2,Matìas Soulé,Juventus,Off Target,28,Left Foot,
