player,position,area
Alex Sandro,d,wbl
Arthur,m,cm
Asamoah,m,ml
Barzagli,d,cd
Benatia,d,cd
Bentancur,m,dm
Bernardeschi,m,rm
Bonucci,d,cd
Borriello,f,cf
Can,m,cm
Cancelo,d,wbr
Chiellini,d,cd
Chiesa,f,wl
Coman,f,wr
Cuadrado,d,wbr
Cáceres,d,cd
Dani Alves,d,wbr
Danilo,d,rd
De Ceglie,d,wbl
De Ligt,d,cd
De Sciglio,d,wbl
Del Piero,f,st
Demiral,d,cd
Douglas Costa,f,fr
Dybala,f,st
Estigarribia,f,wl
Evra,d,wbl
Frabotta,d,wbl
Giaccherini,m,am
Giovinco,f,st
Hernanes,m,cm
Higuaín,f,st
Höwedes,d,cd
Kean,f,st
Khedira,m,cm
Krasić,f,wl
Kulusevski,f,wl
Lemina,m,dm
Lichtsteiner,d,rb
Llorente,f,st
Locatelli,m,cm
Mandžukić,f,st
Marchisio,m,cm
Marrone,m,dm
Matri,f,st
Matuidi,m,dm
McKennie,m,am
Morata,f,st
Osvaldo,f,st
Padoin,m,cm
Peluso,d,ld
Pepe,f,rw
Pereyra,
Pirlo,m,cm
Pjaca,f,rw
Pjanić,m,cm
Pogba,m,cm
Quagliarella,f,st
Rabiot,m,rm
Rafia,m,am
Ramsey,m,am
Ronaldo,f,st
Rugani,d,cd
Sturaro,m,cm
Tevez,f,st
Vidal,m,cm
Vučinić,f,st
Zaza,f,st
